name,identifier,site,created,region,evento,data,corrente
"comune-di-andora","c_a278","https://www.comune.andora.sv.it","2025-04-11T09:46:18.409525","07",ingresso,2025-09-29,1
"comune-di-arenzano","c_a388","https://www.comune.arenzano.ge.it","2025-09-19T07:19:02.331624","07",ingresso,2025-09-29,1
"comune-di-arese","c_a389","https://www.opendata.maggioli.cloud/organizzation/comune-di-arese","2025-07-31T15:59:38.037371","03",ingresso,2025-09-29,1
"comune-di-assisi","c_a475","https://www.comune.assisi.pg.it/contatti/","2025-03-04T10:09:07.040681","10",ingresso,2025-09-29,1
"comune-di-barcellona-pozzo-di-gotto","c_a638","","2025-02-07T15:19:52.959015","19",ingresso,2025-09-29,1
"comune-di-bari","c_a662","https://opendata.comune.bari.it/","2024-03-08T18:20:12.070830","16",ingresso,2025-09-29,1
"comune-di-baronissi","c_a674","https://www.opendata.maggioli.cloud/organization/comune-di-baronissi","2025-05-23T11:18:08.375374","15",ingresso,2025-09-29,1
"comune-di-beinasco","c_a734","https://comune.beinasco.to.it/","2024-10-28T10:33:16.569782","01",ingresso,2025-09-29,1
"comune-di-benevento","c_a783","","2025-02-07T15:05:41.669280","15",ingresso,2025-09-29,1
"comune-di-besana-in-brianza","c_a818","https://www.opendata.maggioli.cloud/organizzation/comune-di-besana-in-brianza","2025-02-19T10:19:30.000370","03",ingresso,2025-09-29,1
"comune-di-biassono","c_f712","https://www.opendata.maggioli.cloud/organization/comune-di-biassono","2025-04-07T10:38:28.480560","03",ingresso,2025-09-29,1
"comune-di-bisignano","c_a887","https://www.comune.bisignano.cs.it","2025-04-14T10:24:26.641817","18",ingresso,2025-09-29,1
"comune-di-bitetto","c_a892","https://www.comune.bitetto.ba.it/","2025-02-06T10:41:01.801186","16",ingresso,2025-09-29,1
"comune-di-bitritto","c_a894","https://comune.bitritto.ba.it/","2025-04-11T14:37:42.370883","16",ingresso,2025-09-29,1
"comune-di-bologna","c_a944","http://opendata.comune.bologna.it","2024-03-08T18:16:37.011539","08",ingresso,2025-09-29,1
"comune-di-boscotrecase","c_b077","https://comune.boscotrecase.na.it","2025-04-11T14:04:28.041027","15",ingresso,2025-09-29,1
"comune-di-bussolengo","c_b296","https://www.opendata.maggioli.cloud/organizzation/comune-di-bussolengo","2025-02-18T17:27:28.457145","05",ingresso,2025-09-29,1
"comune-di-campobasso","c_b519","https://www.comune.campobasso.it","2025-04-14T08:16:26.013731","14",ingresso,2025-09-29,1
"comune-di-carovigno","c_b809","https://www.opendata.maggioli.cloud/organization/comune-di-carovigno","2024-11-14T15:09:34.834499","16",ingresso,2025-09-29,1
"comune-di-carugate","c_b850","","2025-02-10T11:14:17.193980","03",ingresso,2025-09-29,1
"comune-di-casavatore","c_b946","","2025-02-07T15:11:18.933115","15",ingresso,2025-09-29,1
"comune-di-caselle-torinese","c_b960","https://www.opendata.maggioli.cloud/organizzation/comune-di-caselle-torinese","2024-11-21T11:04:33.388135","01",ingresso,2025-09-29,1
"comune-di-casoli","c_b985","https://comune.casoli.ch.it/","2025-04-11T15:36:21.790192","13",ingresso,2025-09-29,1
"comune-di-cassano-allo-ionio","c_c002","https://www.comune.cassanoalloionio.cs.it","2025-07-23T13:21:02.037009","18",ingresso,2025-09-29,1
"comune-di-cassina-de-pecchi","c_c014","https://www.opendata.maggioli.cloud/organizzation/comune-di-cassina-de-pecchi","2025-02-18T16:53:55.717713","03",ingresso,2025-09-29,1
"comune-di-castel-mella","c_c208","https://www.comune.castelmella.bs.it","2025-03-05T10:50:39.383395","03",ingresso,2025-09-29,1
"comune-di-castel-san-giovanni","c_c261","https://www.comune.castelsangiovanni.pc.it/it","2025-04-11T15:08:00.947762","08",ingresso,2025-09-29,1
"comune-di-castellana-grotte","c_c134","","2025-02-07T10:27:47.965963","",ingresso,2025-09-29,1
"comune-di-castenaso","c_c292","","2025-02-07T15:18:22.788322","08",ingresso,2025-09-29,1
"comune-di-castiglione-del-lago","c_c309","https://comune.castiglione-del-lago.pg.it/it","2025-02-07T10:26:39.213500","10",ingresso,2025-09-29,1
"comune-di-castiglione-delle-stiviere","c_c312","https://www.opendata.maggioli.cloud/organization/comune-di-castiglione-delle-stiviere","2024-11-11T15:57:38.207466","03",ingresso,2025-09-29,1
"comune-di-cellole","c_m262","https://www.comunedicellole.it/it","2025-04-14T10:53:36.828607","15",ingresso,2025-09-29,1
"comune-di-cerreto-guidi","c_c529","https://www.comune.cerreto-guidi.fi.it/it/help","2025-02-19T13:45:06.497890","09",ingresso,2025-09-29,1
"comune-di-chiavari","c_c621","https://www.opendata.maggioli.cloud/organization/comune-di-chiavari","2024-08-07T12:31:28.769023","07",ingresso,2025-09-29,1
"comune-di-cingoli","c_c704","https://www.comune.cingoli.mc.it/","2025-04-14T12:07:28.134902","11",ingresso,2025-09-29,1
"comune-di-civitavecchia","c_c773","https://www.comune.civitavecchia.rm.it/","2025-03-14T09:23:02.989205","12",ingresso,2025-09-29,1
"comune-di-collesalvetti","c_c869","https://comunecollesalvetti.iswebcloud.it/","2025-07-04T09:05:57.298066","09",ingresso,2025-09-29,1
"comune-di-cologno-monzese","c_c895","https://www.opendata.maggioli.cloud/organization/comune-di-cologno-monzese","2024-11-13T11:45:17.097340","03",ingresso,2025-09-29,1
