ID,DATAISTITUZIONE,DATACESSAZIONE,CODISTAT,CODCATASTALE,DENOMINAZIONE_IT,DENOMTRASLITTERATA,ALTRADENOMINAZIONE,ALTRADENOMTRASLITTERATA,IDPROVINCIA,IDPROVINCIAISTAT,IDREGIONE,IDPREFETTURA,STATO,SIGLAPROVINCIA,FONTE,DATAULTIMOAGG,COD_DENOM
2029,1946-11-12,9999-12-31,061018,B860,CASAGIOVE,CASAGIOVE,,,61,061,15,CE,A,CE,,2016-06-17,
17002,1994-12-14,9999-12-31,006037,B870,CASAL CERMELLI,CASAL CERMELLI,,,6,006,01,AL,A,AL,,2016-06-17,
17003,1946-03-25,9999-12-31,061019,B872,CASAL DI PRINCIPE,CASAL DI PRINCIPE,,,61,061,15,CE,A,CE,,2016-06-17,
2066,1893-06-02,9999-12-31,065028,B895,CASAL VELINO,CASAL VELINO,,,65,065,15,SA,A,SA,,2016-06-17,
2030,1861-03-17,9999-12-31,069014,B861,CASALANGUIDA,CASALANGUIDA,,,69,069,13,CH,A,CH,,2016-06-17,
2031,1927-01-12,9999-12-31,060017,B862,CASALATTICO,CASALATTICO,,,60,060,12,FR,A,FR,,2016-06-17,
2033,1861-03-17,9999-12-31,003037,B864,CASALBELTRAME,CASALBELTRAME,,,3,003,01,NO,A,NO,,2016-06-17,
2034,1861-03-17,9999-12-31,069015,B865,CASALBORDINO,CASALBORDINO,,,69,069,13,CH,A,CH,,2016-06-17,
2035,1861-03-17,9999-12-31,064020,B866,CASALBORE,CASALBORE,,,64,064,15,AV,A,AV,,2016-06-17,
2036,1937-10-23,9999-12-31,001060,B867,CASALBORGONE,CASALBORGONE,,,1,001,01,TO,A,TO,,2016-06-17,
2037,1862-12-29,9999-12-31,065026,B868,CASALBUONO,CASALBUONO,,,65,065,15,SA,A,SA,,2016-06-17,
2038,1867-09-06,9999-12-31,019016,B869,CASALBUTTANO ED UNITI,CASALBUTTANO ED UNITI,,,19,019,03,CR,A,CR,,2016-06-17,
2040,1970-03-03,9999-12-31,070012,B871,CASALCIPRANO,CASALCIPRANO,,,70,070,14,CB,A,CB,,2016-06-17,
2042,1892-03-28,9999-12-31,062015,B873,CASALDUNI,CASALDUNI,,,62,062,15,BN,A,BN,,2016-06-17,
2045,1992-05-23,9999-12-31,103019,B876,CASALE CORTE CERRO,CASALE CORTE CERRO,,,103,103,01,VB,A,VB,,2016-06-17,
2051,1934-03-07,9999-12-31,019017,B881,CASALE CREMASCO-VIDOLASCO,CASALE CREMASCO-VIDOLASCO,,,19,019,03,CR,A,CR,,2016-06-17,
2047,1867-08-26,9999-12-31,028027,B877,CASALE DI SCODOSIA,CASALE DI SCODOSIA,,,28,028,05,PD,A,PD,,2016-06-17,
2044,1958-05-28,9999-12-31,012036,B875,CASALE LITTA,CASALE LITTA,,,12,012,03,VA,A,VA,,2016-06-17,
2048,1899-07-26,9999-12-31,050006,B878,CASALE MARITTIMO,CASALE MARITTIMO,,,50,050,09,PI,A,PI,,2016-06-17,
2055,1861-03-17,9999-12-31,006039,B885,CASALE MONFERRATO,CASALE MONFERRATO,,,6,006,01,AL,A,AL,,2016-06-17,
2049,1868-02-14,9999-12-31,026009,B879,CASALE SUL SILE,CASALE SUL SILE,,,26,026,05,TV,A,TV,,2016-06-17,
2050,1861-03-17,9999-12-31,037011,B880,CASALECCHIO DI RENO,CASALECCHIO DI RENO,,,37,037,08,BO,A,BO,,2016-06-17,
2052,1863-01-26,9999-12-31,006038,B882,CASALEGGIO BOIRO,CASALEGGIO BOIRO,,,6,006,01,AL,A,AL,,2016-06-17,
