_id,Codice_ateco,Descrizione_ateco
726,23.69,"23.69 - Fabbricazione di altri prodotti in calcestruzzo, gesso e cemento"
727,23.69.0,"23.69.0 - Fabbricazione di altri prodotti in calcestruzzo, gesso e cemento"
728,23.69.00,"23.69.00 - Fabbricazione di altri prodotti in calcestruzzo, gesso e cemento"
729,23.7,"23.7 - TAGLIO, MODELLATURA E FINITURA DI PIETRE"
730,23.70,"23.70 - Taglio, modellatura e finitura di pietre"
731,23.70.1,23.70.1 - Segagione e lavorazione delle pietre e del marmo
732,23.70.10,23.70.10 - Segagione e lavorazione delle pietre e del marmo
733,23.70.2,"23.70.2 - Lavorazione artistica del marmo e di altre pietre affini, lavori in mosaico"
734,23.70.20,"23.70.20 - Lavorazione artistica del marmo e di altre pietre affini, lavori in mosaico"
735,23.70.3,23.70.3 - Frantumazione di pietre e minerali vari non in connessione con l'estrazione
736,23.70.30,23.70.30 - Frantumazione di pietre e minerali vari non in connessione con l'estrazione
737,23.9,23.9 - FABBRICAZIONE DI PRODOTTI ABRASIVI E DI PRODOTTI IN MINERALI NON METALLIFERI NCA
738,23.91,23.91 - Produzione di prodotti abrasivi
739,23.91.0,23.91.0 - Produzione di prodotti abrasivi
740,23.91.00,23.91.00 - Produzione di prodotti abrasivi
741,23.99,23.99 - Fabbricazione di altri prodotti in minerali non metalliferi nca
742,23.99.0,23.99.0 - Fabbricazione di altri prodotti in minerali non metalliferi nca
743,23.99.00,23.99.00 - Fabbricazione di altri prodotti in minerali non metalliferi nca
744,24,24 - METALLURGIA
745,24.1,24.1 - SIDERURGIA
746,24.10,24.10 - Siderurgia
747,24.10.0,"24.10.0 - Siderurgia - Fabbricazione di ferro, acciaio e ferroleghe"
748,24.10.00,"24.10.00 - Siderurgia - Fabbricazione di ferro, acciaio e ferroleghe"
749,24.2,"24.2 - FABBRICAZIONE DI TUBI, CONDOTTI, PROFILATI CAVI E RELATIVI ACCESSORI IN ACCIAIO (ESCLUSI QUELLI IN ACCIAIO COLATO)"
750,24.20,"24.20 - Fabbricazione di tubi, condotti, profilati cavi e relativi accessori in acciaio (esclusi quelli in acciaio colato)"
751,24.20.1,24.20.1 - Fabbricazione di tubi e condotti senza saldatura
752,24.20.10,24.20.10 - Fabbricazione di tubi e condotti senza saldatura
753,24.20.2,24.20.2 - Fabbricazione di tubi e condotti saldati e simili
754,24.20.20,24.20.20 - Fabbricazione di tubi e condotti saldati e simili
755,24.3,24.3 - FABBRICAZIONE DI ALTRI PRODOTTI DELLA PRIMA TRASFORMAZIONE DELL'ACCIAIO
756,24.31,24.31 - Stiratura a freddo di barre
757,24.31.0,24.31.0 - Stiratura a freddo di barre
758,24.31.00,24.31.00 - Stiratura a freddo di barre
759,24.32,24.32 - Laminazione a freddo di nastri
760,24.32.0,24.32.0 - Laminazione a freddo di nastri
761,24.32.00,24.32.00 - Laminazione a freddo di nastri
762,24.33,24.33 - Profilatura mediante formatura o piegatura a freddo; fabbricazione di pannelli stratificati in acciaio
763,24.33.0,24.33.0 - Profilatura mediante formatura o piegatura a freddo; fabbricazione di pannelli stratificati in acciaio
764,24.33.01,24.33.01 - Fabbricazione di pannelli stratificati in acciaio
765,24.33.02,24.33.02 - Profilatura mediante formatura o piegatura a freddo
766,24.34,24.34 - Trafilatura a freddo
767,24.34.0,24.34.0 - Trafilatura a freddo
768,24.34.00,24.34.00 - Trafilatura a freddo
769,24.4,"24.4 - PRODUZIONE DI METALLI DI BASE PREZIOSI E ALTRI METALLI NON FERROSI, TRATTAMENTO DEI COMBUSTIBILI NUCLEARI"
770,24.41,24.41 - Produzione di metalli preziosi
771,24.41.0,24.41.0 - Produzione di metalli preziosi e semilavorati
772,24.41.00,24.41.00 - Produzione di metalli preziosi e semilavorati
773,24.42,24.42 - Produzione di alluminio
774,24.42.0,24.42.0 - Produzione di alluminio e semilavorati
775,24.42.00,24.42.00 - Produzione di alluminio e semilavorati
776,24.43,"24.43 - Produzione di piombo, zinco e stagno e semilavorati"
777,24.43.0,"24.43.0 - Produzione di piombo, zinco e stagno e semilavorati"
778,24.43.00,"24.43.00 - Produzione di piombo, zinco e stagno e semilavorati"
779,24.44,24.44 - Produzione di rame
780,24.44.0,24.44.0 - Produzione di rame e semilavorati
781,24.44.00,24.44.00 - Produzione di rame e semilavorati
782,24.45,24.45 - Produzione di altri metalli non ferrosi
783,24.45.0,24.45.0 - Produzione di altri metalli non ferrosi e semilavorati
784,24.45.00,24.45.00 - Produzione di altri metalli non ferrosi e semilavorati
785,24.46,24.46 - Trattamento dei combustibili nucleari
786,24.46.0,24.46.0 - Trattamento dei combustibili nucleari (escluso l'arricchimento di uranio e torio)
787,24.46.00,24.46.00 - Trattamento dei combustibili nucleari (escluso l'arricchimento di uranio e torio)
788,24.5,24.5 - FONDERIE
789,24.51,24.51 - Fusione di ghisa
790,24.51.0,24.51.0 - Fusione di ghisa e produzione di tubi e raccordi in ghisa
791,24.51.00,24.51.00 - Fusione di ghisa e produzione di tubi e raccordi in ghisa
792,24.52,24.52 - Fusione di acciaio
793,24.52.0,24.52.0 - Fusione di acciaio
794,24.52.00,24.52.00 - Fusione di acciaio
795,24.53,24.53 - Fusione di metalli leggeri
796,24.53.0,24.53.0 - Fusione di metalli leggeri
797,24.53.00,24.53.00 - Fusione di metalli leggeri
798,24.54,24.54 - Fusione di altri metalli non ferrosi
799,24.54.0,24.54.0 - Fusione di altri metalli non ferrosi
800,24.54.00,24.54.00 - Fusione di altri metalli non ferrosi
801,25,25 - FABBRICAZIONE DI PRODOTTI IN METALLO (ESCLUSI MACCHINARI E ATTREZZATURE)
802,25.1,25.1 - FABBRICAZIONE DI ELEMENTI DA COSTRUZIONE IN METALLO
803,25.11,25.11 - Fabbricazione di strutture metalliche e di parti di strutture
804,25.11.0,25.11.0 - Fabbricazione di strutture metalliche e parti assemblate di strutture
805,25.11.00,25.11.00 - Fabbricazione di strutture metalliche e parti assemblate di strutture
806,25.12,25.12 - Fabbricazione di porte e finestre in metallo
807,25.12.1,"25.12.1 - Fabbricazione di porte, finestre e loro telai, imposte e cancelli metallici"
808,25.12.10,"25.12.10 - Fabbricazione di porte, finestre e loro telai, imposte e cancelli metallici"
809,25.12.2,"25.12.2 - Fabbricazione di strutture metalliche per tende da sole, tende alla veneziana e simili"
810,25.12.20,"25.12.20 - Fabbricazione di strutture metalliche per tende da sole, tende alla veneziana e simili"
811,25.2,"25.2 - FABBRICAZIONE DI CISTERNE, SERBATOI, RADIATORI E CONTENITORI IN METALLO"
812,25.21,25.21 - Fabbricazione di radiatori e contenitori in metallo per caldaie per il riscaldamento centrale
813,25.21.0,25.21.0 - Fabbricazione di radiatori e contenitori in metallo per caldaie per il riscaldamento centrale
814,25.21.00,25.21.00 - Fabbricazione di radiatori e contenitori in metallo per caldaie per il riscaldamento centrale
815,25.29,"25.29 - Fabbricazione di altre cisterne, serbatoi e contenitori in metallo"
816,25.29.0,"25.29.0 - Fabbricazione di cisterne, serbatoi e contenitori in metallo per impieghi di stoccaggio o di produzione"
817,25.29.00,"25.29.00 - Fabbricazione di cisterne, serbatoi e contenitori in metallo per impieghi di stoccaggio o di produzione"
818,25.3,25.3 - FABBRICAZIONE DI GENERATORI DI VAPORE (ESCLUSI I CONTENITORI IN METALLO PER CALDAIE PER IL RISCALDAMENTO CENTRALE AD ACQUA CALDA)
819,25.30,25.30 - Fabbricazione di generatori di vapore (esclusi i contenitori in metallo per caldaie per il riscaldamento centrale ad acqua calda)
820,25.30.0,25.30.0 - Fabbricazione di generatori di vapore (esclusi i contenitori in metallo per caldaie per il riscaldamento centrale ad acqua calda)
821,25.30.00,25.30.00 - Fabbricazione di generatori di vapore (esclusi i contenitori in metallo per caldaie per il riscaldamento centrale ad acqua calda)
822,25.4,25.4 - FABBRICAZIONE DI ARMI E MUNIZIONI
823,25.40,25.40 - Fabbricazione di armi e munizioni
824,25.40.0,25.40.0 - Fabbricazione di armi e munizioni
825,25.40.00,25.40.00 - Fabbricazione di armi e munizioni
826,25.5,"25.5 - FUCINATURA, IMBUTITURA, STAMPAGGIO E PROFILATURA DEI METALLI; METALLURGIA DELLE POLVERI"
827,25.50,"25.50 - Fucinatura, imbutitura, stampaggio e profilatura dei metalli; metallurgia delle polveri"
828,25.50.0,"25.50.0 - Fucinatura, imbutitura, stampaggio e profilatura dei metalli; metallurgia delle polveri"
829,25.50.00,"25.50.00 - Fucinatura, imbutitura, stampaggio e profilatura dei metalli; metallurgia delle polveri"
830,25.6,25.6 - TRATTAMENTO E RIVESTIMENTO DEI METALLI; LAVORI DI MECCANICA GENERALE
831,25.61,25.61 - Trattamento e rivestimento dei metalli
832,25.61.0,25.61.0 - Trattamento e rivestimento dei metalli
833,25.61.00,25.61.00 - Trattamento e rivestimento dei metalli
834,25.62,25.62 - Lavori di meccanica generale
835,25.62.0,25.62.0 - Lavori di meccanica generale
836,25.62.00,25.62.00 - Lavori di meccanica generale
837,25.7,"25.7 - FABBRICAZIONE DI ARTICOLI DI COLTELLERIA, UTENSILI E OGGETTI DI FERRAMENTA"
838,25.71,25.71 - Fabbricazione di articoli di coltelleria e posateria
839,25.71.0,"25.71.0 - Fabbricazione di articoli di coltelleria, posateria ed armi bianche"
840,25.71.00,"25.71.00 - Fabbricazione di articoli di coltelleria, posateria ed armi bianche"
841,25.72,25.72 - Fabbricazione di serrature e cerniere
842,25.72.0,25.72.0 - Fabbricazione di serrature e cerniere e ferramenta simili
843,25.72.00,25.72.00 - Fabbricazione di serrature e cerniere e ferramenta simili
844,25.73,25.73 - Fabbricazione di utensileria
845,25.73.1,25.73.1 - Fabbricazione di utensileria ad azionamento manuale; parti intercambiabili per macchine utensili
846,25.73.11,25.73.11 - Fabbricazione di utensileria ad azionamento manuale
847,25.73.12,25.73.12 - Fabbricazione di parti intercambiabili per macchine utensili
848,25.73.2,"25.73.2 - Fabbricazione di stampi, portastampi, sagome, forme per macchine"
849,25.73.20,"25.73.20 - Fabbricazione di stampi, portastampi, sagome, forme per macchine"
850,25.9,25.9 - FABBRICAZIONE DI ALTRI PRODOTTI IN METALLO
851,25.91,25.91 - Fabbricazione di bidoni in acciaio e di contenitori analoghi
852,25.91.0,25.91.0 - Fabbricazione di bidoni in acciaio e contenitori analoghi per il trasporto e l'imballaggio
853,25.91.00,25.91.00 - Fabbricazione di bidoni in acciaio e contenitori analoghi per il trasporto e l'imballaggio
854,25.92,25.92 - Fabbricazione di imballaggi leggeri in metallo
855,25.92.0,25.92.0 - Fabbricazione di imballaggi leggeri in metallo
856,25.92.00,25.92.00 - Fabbricazione di imballaggi leggeri in metallo
857,25.93,"25.93 - Fabbricazione di prodotti fabbricati con fili metallici, catene e molle"
858,25.93.1,25.93.1 - Fabbricazione di prodotti fabbricati con fili metallici
859,25.93.10,25.93.10 - Fabbricazione di prodotti fabbricati con fili metallici
860,25.93.2,25.93.2 - Fabbricazione di molle
861,25.93.20,25.93.20 - Fabbricazione di molle
862,25.93.3,25.93.3 - Fabbricazione di catene fucinate senza saldatura e stampate
863,25.93.30,25.93.30 - Fabbricazione di catene fucinate senza saldatura e stampate
864,25.94,25.94 - Fabbricazione di articoli di bulloneria
865,25.94.0,25.94.0 - Fabbricazione di articoli di bulloneria
866,25.94.00,25.94.00 - Fabbricazione di articoli di bulloneria
867,25.99,25.99 - Fabbricazione di altri prodotti in metallo nca
868,25.99.1,"25.99.1 - Fabbricazione di stoviglie, pentolame, vasellame, attrezzi da cucina e accessori casalinghi non elettrici, articoli metallici per l'arredamento di stanze da bagno"
869,25.99.11,25.99.11 - Fabbricazione di caraffe e bottiglie isolate in metallo
870,25.99.19,"25.99.19 - Fabbricazione di stoviglie, pentolame, vasellame, attrezzi da cucina e altri accessori casalinghi non elettrici, articoli metallici per l'arredamento di stanze da bagno"
871,25.99.2,"25.99.2 - Fabbricazione di casseforti, forzieri e porte metalliche blindate"
872,25.99.20,"25.99.20 - Fabbricazione di casseforti, forzieri e porte metalliche blindate"
873,25.99.3,"25.99.3 - Fabbricazione di oggetti in ferro, in rame ed altri metalli"
874,25.99.30,"25.99.30 - Fabbricazione di oggetti in ferro, in rame ed altri metalli"
875,25.99.9,25.99.9 - Fabbricazione di altri articoli metallici e minuteria metallica
876,25.99.91,25.99.91 - Fabbricazione di magneti metallici permanenti
877,25.99.99,25.99.99 - Fabbricazione di altri articoli metallici e minuteria metallica nca
878,26,"26 - FABBRICAZIONE DI COMPUTER E PRODOTTI DI ELETTRONICA E OTTICA; APPARECCHI ELETTROMEDICALI, APPARECCHI DI MISURAZIONE E DI OROLOGI"
879,26.1,26.1 - FABBRICAZIONE DI COMPONENTI ELETTRONICI E SCHEDE ELETTRONICHE
880,26.11,26.11 - Fabbricazione di componenti elettronici
881,26.11.0,26.11.0 - Fabbricazione di componenti elettronici
882,26.11.01,"26.11.01 - Fabbricazione di diodi, transistor e relativi congegni elettronici"
883,26.11.09,26.11.09 - Fabbricazione di altri componenti elettronici
884,26.12,26.12 - Fabbricazione di schede elettroniche assemblate
885,26.12.0,26.12.0 - Fabbricazione di schede elettroniche assemblate
886,26.12.00,26.12.00 - Fabbricazione di schede elettroniche assemblate
887,26.2,26.2 - FABBRICAZIONE DI COMPUTER E UNITÀ PERIFERICHE
888,26.20,26.20 - Fabbricazione di computer e unità periferiche
889,26.20.0,26.20.0 - Fabbricazione di computer e unità periferiche
890,26.20.00,26.20.00 - Fabbricazione di computer e unità periferiche
891,26.3,26.3 - FABBRICAZIONE DI APPARECCHIATURE PER LE TELECOMUNICAZIONI
892,26.30,26.30 - Fabbricazione di apparecchiature per le telecomunicazioni
893,26.30.1,26.30.1 - Fabbricazione di apparecchi trasmittenti radiotelevisivi (incluse le telecamere)
894,26.30.10,26.30.10 - Fabbricazione di apparecchi trasmittenti radiotelevisivi (incluse le telecamere)
895,26.30.2,26.30.2 - Fabbricazione di apparecchi elettrici ed elettronici per telecomunicazioni
896,26.30.21,26.30.21 - Fabbricazione di sistemi antifurto e antincendio
897,26.30.29,26.30.29 - Fabbricazione di altri apparecchi elettrici ed elettronici per telecomunicazioni
898,26.4,26.4 - FABBRICAZIONE DI PRODOTTI DI ELETTRONICA DI CONSUMO AUDIO E VIDEO
899,26.40,26.40 - Fabbricazione di prodotti di elettronica di consumo audio e video
900,26.40.0,26.40.0 - Fabbricazione di apparecchi per la riproduzione e registrazione del suono e delle immagini
901,26.40.01,26.40.01 - Fabbricazione di apparecchi per la riproduzione e registrazione del suono e delle immagini
902,26.40.02,26.40.02 - Fabbricazione di console per videogiochi (esclusi i giochi elettronici)
903,26.5,"26.5 - FABBRICAZIONE DI STRUMENTI E APPARECCHI DI MISURAZIONE, PROVA E NAVIGAZIONE; OROLOGI"
904,26.51,"26.51 - Fabbricazione di strumenti e apparecchi di misurazione, prova e navigazione (esclusi quelli ottici)"
905,26.51.1,"26.51.1 - Fabbricazione di strumenti per navigazione, idrologia, geofisica e meteorologia"
906,26.51.10,"26.51.10 - Fabbricazione di strumenti per navigazione, idrologia, geofisica e meteorologia"
907,26.51.2,"26.51.2 - Fabbricazione di contatori di elettricità, gas, acqua ed altri liquidi, di bilance analitiche di precisione, di apparecchi di misura e regolazione (incluse parti staccate e accessori)"
908,26.51.21,"26.51.21 - Fabbricazione di rilevatori di fiamma e combustione, di mine, di movimento, generatori d'impulso e metal detector"
909,26.51.29,"26.51.29 - Fabbricazione di altri apparecchi di misura e regolazione, strumenti da disegno, di contatori di elettricità, gas, acqua ed altri liquidi, di bilance analitiche di precisione (incluse parti staccate ed accessori)"
910,26.52,26.52 - Fabbricazione di orologi
911,26.52.0,26.52.0 - Fabbricazione di orologi
912,26.52.00,26.52.00 - Fabbricazione di orologi
913,26.6,"26.6 - FABBRICAZIONE DI STRUMENTI PER IRRADIAZIONE, APPARECCHIATURE ELETTROMEDICALI ED ELETTROTERAPEUTICHE"
914,26.60,"26.60 - Fabbricazione di strumenti per irradiazione, apparecchiature elettromedicali ed elettroterapeutiche"
915,26.60.0,"26.60.0 - Fabbricazione di strumenti per irradiazione, apparecchiature elettromedicali ed elettroterapeutiche"
916,26.60.01,26.60.01 - Fabbricazione di apparecchiature di irradiazione per alimenti e latte
917,26.60.02,26.60.02 - Fabbricazione di apparecchi elettromedicali (incluse parti staccate e accessori)
918,26.60.09,26.60.09 - Fabbricazione di altri strumenti per irradiazione ed altre apparecchiature elettroterapeutiche
919,26.7,26.7 - FABBRICAZIONE DI STRUMENTI OTTICI E ATTREZZATURE FOTOGRAFICHE
920,26.70,26.70 - Fabbricazione di strumenti ottici e attrezzature fotografiche
921,26.70.1,"26.70.1 - Fabbricazione di elementi ottici e strumenti ottici di misura, controllo e precisione"
922,26.70.11,26.70.11 - Fabbricazione di elementi ottici e strumenti ottici di precisione
923,26.70.12,26.70.12 - Fabbricazione di attrezzature ottiche di misurazione e controllo
924,26.70.2,26.70.2 - Fabbricazione di apparecchiature fotografiche e cinematografiche
925,26.70.20,26.70.20 - Fabbricazione di apparecchiature fotografiche e cinematografiche
926,26.8,26.8 - FABBRICAZIONE DI SUPPORTI MAGNETICI ED OTTICI
927,26.80,26.80 - Fabbricazione di supporti magnetici ed ottici
928,26.80.0,26.80.0 - Fabbricazione di supporti magnetici ed ottici
929,26.80.00,26.80.00 - Fabbricazione di supporti magnetici ed ottici
930,27,27 - FABBRICAZIONE DI APPARECCHIATURE ELETTRICHE ED APPARECCHIATURE PER USO DOMESTICO NON ELETTRICHE
931,27.1,"27.1 - FABBRICAZIONE DI MOTORI, GENERATORI E TRASFORMATORI ELETTRICI E DI APPARECCHIATURE PER LA DISTRIBUZIONE E IL CONTROLLO DELL'ELETTRICITÀ"
932,27.11,"27.11 - Fabbricazione di motori, generatori e trasformatori elettrici"
933,27.11.0,"27.11.0 - Fabbricazione di motori, generatori e trasformatori elettrici"
934,27.11.00,"27.11.00 - Fabbricazione di motori, generatori e trasformatori elettrici"
935,27.12,27.12 - Fabbricazione di apparecchiature per le reti di distribuzione e il controllo dell'elettricità
936,27.12.0,27.12.0 - Fabbricazione di apparecchiature per le reti di distribuzione e il controllo dell'elettricità
937,27.12.00,27.12.00 - Fabbricazione di apparecchiature per le reti di distribuzione e il controllo dell'elettricità
938,27.2,27.2 - FABBRICAZIONE DI BATTERIE DI PILE ED ACCUMULATORI ELETTRICI
939,27.20,27.20 - Fabbricazione di batterie di pile ed accumulatori elettrici
940,27.20.0,27.20.0 - Fabbricazione di batterie di pile ed accumulatori elettrici
941,27.20.00,27.20.00 - Fabbricazione di batterie di pile ed accumulatori elettrici
942,27.3,27.3 - FABBRICAZIONE DI CABLAGGI E APPARECCHIATURE DI CABLAGGIO
943,27.31,27.31 - Fabbricazione di cavi a fibra ottica
944,27.31.0,27.31.0 - Fabbricazione di cavi a fibra ottica
945,27.31.01,27.31.01 - Fabbricazione di cavi a fibra ottica per la trasmissione di dati o di immagini
946,27.31.02,27.31.02 - Fabbricazione di fibre ottiche
947,27.32,27.32 - Fabbricazione di altri fili e cavi elettrici ed elettronici
948,27.32.0,27.32.0 - Fabbricazione di altri fili e cavi elettrici ed elettronici
949,27.32.00,27.32.00 - Fabbricazione di altri fili e cavi elettrici ed elettronici
950,27.33,27.33 - Fabbricazione di attrezzature per cablaggio
951,27.33.0,27.33.0 - Fabbricazione di attrezzature per cablaggio
952,27.33.01,27.33.01 - Fabbricazione di apparecchiature in plastica non conduttiva
953,27.33.09,27.33.09 - Fabbricazione di altre attrezzature per cablaggio
954,27.4,27.4 - FABBRICAZIONE DI APPARECCHIATURE PER ILLUMINAZIONE
955,27.40,27.40 - Fabbricazione di apparecchiature per illuminazione
956,27.40.0,27.40.0 - Fabbricazione di apparecchiature per illuminazione
957,27.40.01,27.40.01 - Fabbricazione di apparecchiature di illuminazione e segnalazione per mezzi di trasporto
958,27.40.09,27.40.09 - Fabbricazione di altre apparecchiature per illuminazione
959,27.5,27.5 - FABBRICAZIONE DI APPARECCHI PER USO DOMESTICO
960,27.51,27.51 - Fabbricazione di elettrodomestici
961,27.51.0,27.51.0 - Fabbricazione di elettrodomestici
962,27.51.00,27.51.00 - Fabbricazione di elettrodomestici
963,27.52,27.52 - Fabbricazione di apparecchi per uso domestico non elettrici
964,27.52.0,27.52.0 - Fabbricazione di apparecchi per uso domestico non elettrici
965,27.52.00,27.52.00 - Fabbricazione di apparecchi per uso domestico non elettrici
966,27.9,27.9 - FABBRICAZIONE DI ALTRE APPARECCHIATURE ELETTRICHE
967,27.90,27.90 - Fabbricazione di altre apparecchiature elettriche
968,27.90.0,27.90.0 - Fabbricazione di altre apparecchiature elettriche
969,27.90.01,27.90.01 - Fabbricazione di apparecchiature elettriche per saldature e brasature
970,27.90.02,27.90.02 - Fabbricazione di insegne elettriche e apparecchiature elettriche di segnalazione
971,27.90.03,"27.90.03 - Fabbricazione di capacitori elettrici, resistenze, condensatori e simili, acceleratori"
972,27.90.09,27.90.09 - Fabbricazione di altre apparecchiature elettriche nca
973,28,28 - FABBRICAZIONE DI MACCHINARI ED APPARECCHIATURE NCA
974,28.1,28.1 - FABBRICAZIONE DI MACCHINE DI IMPIEGO GENERALE
975,28.11,"28.11 - Fabbricazione di motori e turbine (esclusi i motori per aeromobili, veicoli e motocicli)"
976,28.11.1,28.11.1 - Fabbricazione di motori a combustione interna (incluse parti e accessori ed esclusi i motori destinati ai mezzi di trasporto su strada e ad aeromobili)
977,28.11.11,28.11.11 - Fabbricazione di motori a combustione interna (esclusi i motori destinati ai mezzi di trasporto su strada e ad aeromobili)
978,28.11.12,"28.11.12 - Fabbricazione di pistoni, fasce elastiche, carburatori e parti simili di motori a combustione interna"
979,28.11.2,28.11.2 - Fabbricazione di turbine e turboalternatori (incluse parti e accessori)
980,28.11.20,28.11.20 - Fabbricazione di turbine e turboalternatori (incluse parti e accessori)
981,28.12,28.12 - Fabbricazione di apparecchiature fluidodinamiche
982,28.12.0,28.12.0 - Fabbricazione di apparecchiature fluidodinamiche
983,28.12.00,28.12.00 - Fabbricazione di apparecchiature fluidodinamiche
984,28.13,28.13 - Fabbricazione di altre pompe e compressori
985,28.13.0,28.13.0 - Fabbricazione di altre pompe e compressori
986,28.13.00,28.13.00 - Fabbricazione di altre pompe e compressori
987,28.14,28.14 - Fabbricazione di altri rubinetti e valvole
988,28.14.0,28.14.0 - Fabbricazione di altri rubinetti e valvole
989,28.14.00,28.14.00 - Fabbricazione di altri rubinetti e valvole
990,28.15,"28.15 - Fabbricazione di cuscinetti, ingranaggi e organi di trasmissione (esclusi quelli idraulici)"
991,28.15.1,"28.15.1 - Fabbricazione di organi di trasmissione (esclusi quelli idraulici e quelli per autoveicoli, aeromobili e motocicli)"
992,28.15.10,"28.15.10 - Fabbricazione di organi di trasmissione (esclusi quelli idraulici e quelli per autoveicoli, aeromobili e motocicli)"
993,28.15.2,28.15.2 - Fabbricazione di cuscinetti a sfere
994,28.15.20,28.15.20 - Fabbricazione di cuscinetti a sfere
995,28.2,28.2 - FABBRICAZIONE DI ALTRE MACCHINE DI IMPIEGO GENERALE
996,28.21,"28.21 - Fabbricazione di forni, bruciatori e sistemi di riscaldamento"
997,28.21.1,"28.21.1 - Fabbricazione di forni, fornaci e bruciatori"
998,28.21.10,"28.21.10 - Fabbricazione di forni, fornaci e bruciatori"
999,28.21.2,28.21.2 - Fabbricazione di sistemi di riscaldamento
1000,28.21.21,28.21.21 - Fabbricazione di caldaie per riscaldamento
1001,28.21.29,28.21.29 - Fabbricazione di altri sistemi per riscaldamento
1002,28.22,28.22 - Fabbricazione di macchine e apparecchi di sollevamento e movimentazione
1003,28.22.0,28.22.0 - Fabbricazione di macchine e apparecchi di sollevamento e movimentazione
1004,28.22.01,"28.22.01 - Fabbricazione di ascensori, montacarichi e scale mobili"
1005,28.22.02,"28.22.02 - Fabbricazione di gru, argani, verricelli a mano e a motore, carrelli trasbordatori, carrelli elevatori e piattaforme girevoli"
1006,28.22.03,28.22.03 - Fabbricazione di carriole
1007,28.22.09,28.22.09 - Fabbricazione di altre macchine e apparecchi di sollevamento e movimentazione
1008,28.23,28.23 - Fabbricazione di macchine ed attrezzature per ufficio (esclusi computer e unità periferiche)
1009,28.23.0,28.23.0 - Fabbricazione di macchine ed attrezzature per ufficio (esclusi computer e unità periferiche)
1010,28.23.01,28.23.01 - Fabbricazione di cartucce toner
1011,28.23.09,28.23.09 - Fabbricazione di macchine ed altre attrezzature per ufficio (esclusi computer e periferiche)
1012,28.24,28.24 - Fabbricazione di utensili portatili a motore
1013,28.24.0,28.24.0 - Fabbricazione di utensili portatili a motore
1014,28.24.00,28.24.00 - Fabbricazione di utensili portatili a motore
1015,28.25,28.25 - Fabbricazione di attrezzature di uso non domestico per la refrigerazione e la ventilazione
1016,28.25.0,28.25.0 - Fabbricazione di attrezzature di uso non domestico per la refrigerazione e la ventilazione; fabbricazione di condizionatori domestici fissi
1017,28.25.00,28.25.00 - Fabbricazione di attrezzature di uso non domestico per la refrigerazione e la ventilazione; fabbricazione di condizionatori domestici fissi
1018,28.29,28.29 - Fabbricazione di altre macchine di impiego generale nca
1019,28.29.1,28.29.1 - Fabbricazione di bilance e di macchine automatiche per la vendita e la distribuzione (incluse parti staccate e accessori)
1020,28.29.10,28.29.10 - Fabbricazione di bilance e di macchine automatiche per la vendita e la distribuzione (incluse parti staccate e accessori)
1021,28.29.2,"28.29.2 - Fabbricazione di macchine e apparecchi per le industrie chimiche, petrolchimiche e petrolifere (incluse parti e accessori)"
1022,28.29.20,"28.29.20 - Fabbricazione di macchine e apparecchi per le industrie chimiche, petrolchimiche e petrolifere (incluse parti e accessori)"
1023,28.29.3,"28.29.3 - Fabbricazione di macchine automatiche per la dosatura, la confezione e per l'imballaggio (incluse parti e accessori)"
1024,28.29.30,"28.29.30 - Fabbricazione di macchine automatiche per la dosatura, la confezione e per l'imballaggio (incluse parti e accessori)"
1025,28.29.9,28.29.9 - Fabbricazione di macchine di impiego generale ed altro materiale meccanico nca
1026,28.29.91,28.29.91 - Fabbricazione di apparecchi per depurare e filtrare liquidi e gas per uso non domestico
1027,28.29.92,28.29.92 - Fabbricazione di macchine per la pulizia (incluse le lavastoviglie) per uso non domestico
1028,28.29.93,"28.29.93 - Fabbricazione di livelle, metri doppi a nastro e utensili simili, strumenti di precisione per meccanica (esclusi quelli ottici)"
1029,28.29.99,28.29.99 - Fabbricazione di altro materiale meccanico e di altre macchine di impiego generale nca
1030,28.3,28.3 - FABBRICAZIONE DI MACCHINE PER L'AGRICOLTURA E LA SILVICOLTURA
1031,28.30,28.30 - Fabbricazione di macchine per l'agricoltura e la silvicoltura
1032,28.30.1,28.30.1 - Fabbricazione di trattori agricoli
1033,28.30.10,28.30.10 - Fabbricazione di trattori agricoli
1034,28.30.9,"28.30.9 - Fabbricazione di altre macchine per l'agricoltura, la silvicoltura e la zootecnia"
1035,28.30.90,"28.30.90 - Fabbricazione di altre macchine per l'agricoltura, la silvicoltura e la zootecnia"
1036,28.4,28.4 - FABBRICAZIONE DI MACCHINE PER LA FORMATURA DEI METALLI E DI ALTRE MACCHINE UTENSILI
1037,28.41,28.41 - Fabbricazione di macchine utensili per la formatura dei metalli
1038,28.41.0,28.41.0 - Fabbricazione di macchine utensili per la formatura dei metalli (incluse parti e accessori ed escluse le parti intercambiabili)
1039,28.41.00,28.41.00 - Fabbricazione di macchine utensili per la formatura dei metalli (incluse parti e accessori ed escluse le parti intercambiabili)
1040,28.49,28.49 - Fabbricazione di altre macchine utensili
1041,28.49.0,28.49.0 - Fabbricazione di altre macchine utensili (incluse parti e accessori)
1042,28.49.01,28.49.01 - Fabbricazione di macchine per la galvanostegia
1043,28.49.09,28.49.09 - Fabbricazione di altre macchine utensili (incluse parti e accessori) nca
